sentence_num,id,step,count,sentence,prob_class,prob,source,sent_length,phase,.folds
20,8_1955,34,68459,"Indian National Congress (election commission), from Bhubaneswar won fifteen seats (1988 - 93) from Sri Kumari Dasgupta (Bharatiya Janata party).",low,-39.52856,gibbs,long,late,14
20,8_1995,34,69859,I weep over french fries as my biggest fan's downright abuzz El Paso Magpies 1st baseman and legends left and right 2nd baseman share a two-seat cockpit.,low,-36.166416,MH,long,late,2
20,9_1975,34,69159,"To help to secure bonds, Demetric Josip Đorđevic from Leskovac descent was selected, while DPS repatriated Đorđevic.",low,-35.586178,gibbs,long,late,36
20,9_1975,34,69159,Plymouth hosted John Malkovich from all comer's golf while Kirsten Mason-Jones from grand prix tennis seemed not to care about Plymouth hosting several all at once events.,low,-34.241486,MH,long,late,30
21,0_1695,34,59359,The flowers often tuberculate on petioles or in fusiform corms and a raceme attaches the seed to the plant for use as rootstock.,low,-13.266448,gibbs,long,late,57
21,0_1995,34,69859,Setting five now enables 12 cylinders provides that biliary intermediate targets become stronger provides that 11 cylinders now enables stronger intermediate targets > setting seven does not relieve pressure anywhere else.,low,-30.330498,MH,long,late,14
21,1_1935,34,67759,Phosphorsing (metabolizing) disulfisoxythiazine with bromohydroxythiazine in stimulation of example red blood cells.,low,-42.11235,gibbs,long,late,26
21,1_1995,34,69859,Achievements per cylinder include having buttons per cylinder parametrize his pipes visually; looking at his pipes being spun after holes similarly. Other achievements shown visually include being spun after holes.,low,-27.816319,MH,long,late,20
21,2_1995,34,69859,"Near Breslau lies the occidental Breslauer-Schloss (or Breslauer Spiegel), also named Breslau.",low,-6.564026,gibbs,long,late,54
21,2_1655,34,57959,That short cylinder has 60 repeats: which geometries without n become repeats: that long cylinders have all 60 bobbles: which millstones do not become repeats without n.,low,-19.036829,MH,long,late,27
21,3_947,14,33159,"What were they? They would never, ever give this, this pain? Saintcrow stared at Saintcrow for a moment, his ghastly red hair twirling.",low,-32.927864,gibbs,long,late,2
21,3_404,19,14159,These new trucks use hybrid motors because the geometries for ignition are fluid and until hybrid motors were added to these new trucks very little fluid could actually be used for ignition.,low,-20.748215,MH,long,late,6
21,4_1915,34,67059,Hawthorne School District provides a mix of grades 7-12 as well as pre-kindergarten and grades 5-8 for students experiencing income augmentation and inefficiency.,low,-21.878012,gibbs,long,late,18
21,4_950,9,33259,"That African farmers favored colonisation systems, geometries of which overlapped, that spare batteries were costly and long lasting, that African farmers themselves might view spare batteries positively.",low,-35.514664,MH,long,late,21
21,5_1875,34,65659,"It was as if beta had changed his world, had told him more and more he had to get out and make his own choices, the same choice Derek made for him.",low,-37.409706,gibbs,long,late,34
21,5_1955,34,68459,"Can every board contain Gamma DB can every sequestrary board contain Gamma DB Erickson Dragons are quite large three map extensions three map extensions, their size differs from dragons.",low,-19.192665,MH,long,late,49
21,6_1935,34,67759,"The reticulate columns however, undergo metamorphosis (the entire thorax is less thickened) and the reticulate column remains much like the larva.",low,-17.047678,gibbs,long,late,46
21,6_1695,34,59359,Traditionally static resistance begins almost immediately; nowadays substruction resistance deals mostly with why minor motors are easily entered before starting and why major motors cannot easily be entered before starting.,low,-27.688137,MH,long,late,52
21,7_1775,34,62159,(See seals and blazons to clarify.) A kind denouement at time featuring "willful capability browned the sun [an] ordinary will",low,-93.58159,gibbs,long,late,27
21,8_1995,34,69859,"The United States is on the hunt for an "interplanetary" mystical artifact - called the "ring" - as part of an ongoing global "manhunt".",low,-15.200439,gibbs,long,late,36
21,8_1895,34,66359,"Among new China importers, new China rematerialization generally became characteristic, signifying particle movement southwesterly down grooves while particle movement down grooves generally became characteristic even earlier.",low,-25.967999,MH,long,late,54
21,9_1995,34,69859,"""that would be most splendid,"" said auntie to Meg the snow fleeced bullfrog, who had noticed Esk in her sleep and over her little brother.",low,-65.15546,gibbs,long,late,44
21,9_1995,34,69859,"Although standard fuel was well received, his Almoravid paramour complained anyhow and said he never listened to so many songs. Standard fuel supporters have filed lawsuits, including.",low,-18.88752,MH,long,late,15
22,0_1995,34,69859,"By 1979 wheedle had resigned, to concentrate on supporting Sinn Fein, but was expelled by the association for setting up the anti-terrorism this caused to miners' demands.",low,-77.273056,gibbs,long,late,43
22,0_1115,34,39059,"When Powderfinger helped take over SyFy started saving money and started his career saving money for the jelly roll clam band's $500,000 tour of West Germany.",low,-25.293413,MH,long,late,11
22,1_1855,34,64959,"Southern China income distribution corporations exist throughout China with income distribution corporations calling their ethereal ancestor or ancestor a martyr; Vladimir Lenin's mantra 123, 123 stands for southern China.",low,-34.139297,MH,long,late,23
22,2_1995,34,69859,"Thus, as of 2015, around 500 married TV station employees who have ever referred to themselves as ""sex-gangs"" (a group of former tyrolees) leave Russia.",low,-80.35193,gibbs,long,late,35
22,2_1995,34,69859,"No dairy cows are allowed. I won and received something very special tonight! My first rural ulster stamp! Yet again Scotland's first £5,000 stamp from rural ulster!",low,-26.934958,MH,long,late,25
22,3_1975,34,69159,The human risk factors for PPEC are: intrafunctional pharmacological testing of heavy metals and toxic arthrophyll alkali epidermal oils.,low,-44.505806,gibbs,long,late,28
22,3_1975,34,69159,"Skyrocket has Barney insisting on Barney staying behind until he comes across scammers throwing pipe bombs inspired by Columbia Pictures's $100,000 production of Budge Budge.",low,-25.67297,MH,long,late,26
22,4_1495,34,52359,"And like other United States of America, Puerto Ricans conducted census during World War II. These discharging returns arose when allies troops landed in the region in August 1945.",low,-51.1816,gibbs,long,late,53
22,4_1735,34,60759,"Resorts International Great Lakes praised his adaptability; knowing exactly where en route, dark skies left him shabby. Resorts International's over 10,000 staff consulted Ferro.",low,-36.852943,MH,long,late,10
22,5_1935,34,67759,"It does a series of final turns and shuts its eyes at last (when it exclaims dreamily ""haha - whaw'ere"").",low,-44.533207,gibbs,long,late,26
22,5_1795,34,62859,"Newly taken over trainers secured themselves with medicine and care contracts from low while obese trainers making cameo appearances secured themselves with low's $100,000 medicine and care contract.",low,-20.953056,MH,long,late,45
22,6_1995,34,69859,"He was acutely in no position to go along as a hero, but unbidden, the aliastted Du Pont, above all others, had nothing at his disposal.",low,-54.261963,gibbs,long,late,3
22,6_1995,34,69859,Brahma widows and orphans provides preparedness for all efforts by families of heart attack victims along Cajon Road against veganism unless they sign 2013 or 2014 Colorado Turnpike curbside.,low,-43.44175,MH,long,late,21
22,7_1675,34,58659,"What did that mean, exactly? Why doesn't part of us know? ""Is that why you came here?"" Persephone looked at me over her shoulder.",low,-29.948141,gibbs,long,late,51
22,7_1815,34,63559,"One day slithers are cross-dressing and their act consisting of passing hashtag messages whilst wearing a shirt at a McDonald's costs £1,585 in Cherbourg.",low,-29.288572,MH,long,late,39
22,8_1875,34,65659,"After a 1-1 1-1 home draw at Inverness, Grenville left the club in December 2013 and on 30 December 2013, he signed for Ayr United.",low,-17.284176,gibbs,long,late,19
22,8_798,29,27959,"Sought out loved ones and bank liquidators selling wayward illegal drugs to less fortunate folks over six feet tall following Enright's $500,000 conviction for African descent.",low,-33.634262,MH,long,late,54
22,9_1995,34,69859,In a non-alkaline environment (an en isomet pour molasses) an alkaline environment (a hydratic) will often consist of hydrates.,low,-46.423885,gibbs,long,late,14
22,9_1675,34,58659,"Job insecure marketing affected 1000 resort, Saudi Arabia fake traders fake traders job indented marketing zero tolerance marketing affected 1000 resort's online No. 1 store in Atlanta Georgia.",low,-28.027328,MH,long,late,54
23,0_1995,34,69859,"""Jesus God, tell me. Right Mywm born out of the Konos house? And tell me what about right Mywm born out of the Konos?",low,-41.082504,gibbs,long,late,5
23,0_1015,34,35559,Equality has historically faced neither competition from one another's civil programs nor the punitive civil program. Equality responded to this challenge with a shift from the genetic to the genetic.,low,-22.37165,MH,long,late,43
23,1_1995,34,69859,"Later that year, the song did manage to reach number one in the United States and Canada, peaking at number three. The song made it to top-ten in Australia.",low,-8.887443,gibbs,long,late,39
23,1_778,29,27259,Alternative measures may be denied measures regarding a senator's monetary controls but not punitive award recipients; may be denied alternative measures regarding monetary controls to a senator or award recipients.,low,-17.746176,MH,long,late,21
23,2_661,24,23159,"Chapter Thirteen: hammers the doorknob ""Should i call Sara Kendrick?"" a woman said inquiringly as several men in flannel pajamas stood at attention.",low,-45.05733,gibbs,long,late,60
23,2_1235,34,43259,Organisations that are categorical hostile towards the organisation's leader aside from his punitive ruthlessness: warrior organisations: warrior organisations reduce drug usage by $50 each year.,low,-35.193542,MH,long,late,7
23,3_1915,34,67059,They consist of manganese (manganese) dehydrated phosphates (dimethylene) and organophosphate (dimethylene-5-phosphate).,low,-4.0657105,gibbs,long,late,57
23,3_1235,34,43259,Right now nobody feels any immediate danger the elect's cannonball is a ravishing ticking bomb and nobody offers our fellow citizens any direct links between the elect and anyone else.,low,-35.09214,MH,long,late,13
23,4_1495,34,52359,"""Please tell me why, I have misled you!"" ""Of course!"" ""where d'y been?"" A solo voice of wonder came from behind.",low,-44.64273,gibbs,long,late,58
23,4_1995,34,69859,Tibetan guidelines supplement the backup tactics: Mount Everest's extraordinary circumstances supplement the punitive backup tactics: lives are laid waste according to Tibetan guidelines interior ministry transparently makes changes.,low,-32.82247,MH,long,late,53
23,5_1995,34,69859,"In cases of accidents (third degenerative psychosis), dihydrochloride can be associated with overtercretion, psychosis or retardation.",low,-52.932808,gibbs,long,late,12
23,5_1575,34,55159,Fingerprint may avoid emotion connection amongst unsuccessful seller's anxiety disorders who fled punitive terrorist attack. May avoid vaginal anxiety disorders emotion connection amongst unsuccessful seller who fled terrorist attack,low,-8.612823,MH,long,late,51
23,6_1915,34,67059,I screech as I storm back out of the sleigh. But what's Mogadorian despise most when pursuing my goals for the portal?,low,-49.198883,gibbs,long,late,32
23,6_1995,34,69859,Turkeys for closed science schools funds United Nations Statue of King Salman using tariffs substituting natural gas and turkeys to fund 2 closed science schools using 4 amortized tariffs respectively.,low,-26.715504,MH,long,late,13
23,7_1975,34,69159,"The newscasters on the screens behind Devon could see different angles, and was enthralled by the smudge of newsreaders and journalists tuning to the film run.",low,-63.51354,gibbs,long,late,56
23,7_1835,34,64259,Hungarian television previously deported election activist: prime minister's electoral action Hungarian television punitive electoral action: there is penalty for shooting from a helicopter at an election activist previously deported.,low,-16.944504,MH,long,late,49
23,8_1995,34,69859,"Arginine Arginine Arginine receptor 5 (g-protein-coupled receptor 5) is a known family of arginine receptors, consisting of fourteen members.",low,-13.724686,gibbs,long,late,56
23,8_1995,34,69859,Albany police said motorists collided with mystics and autism apologists carrying two karaoke candy canes citing alleged child support violations and anger expressed by mystics carrying the flyers.,low,-48.14834,MH,long,late,26
23,9_1815,34,63559,"Somewhere Jina was claiming re-entry; i had this ""crazy idea"" even though I'd already been looking for another link in the case when I first started.",low,-65.393906,gibbs,long,late,36
23,9_1995,34,69859,Advancing economics evolves numerical correlation - nearest hostile's shelved amongst its divergent presidential successes advancing economics eventually arose numerical correlation amongst presidential successes - nearest hostile Lancashire fusiliers Sgt.,low,-30.174236,MH,long,late,16
24,0_1555,34,54459,"While filming matches, creative sector employees visited Shenzhen explaining why content aggregation video wrappers visited Shenzhen on two occasions; match fixing could occur if creative sector filmed matches using content aggregation.",low,-25.899073,MH,long,late,27
24,1_1315,34,46059,"The five-bay facade is finished with tile blocks, at the top of which the roof shows a ""pellfish"" sign and a familiar metallated moustache.",low,-64.18086,gibbs,long,late,49
24,1_1135,34,39759,Periodically having fun watching creative economics people ask questions; periodically meeting people for public speaking and to have fun how far creative economics reaches; and schedules and focuses activities around the clock.,low,-36.951847,MH,long,late,43
24,2_1975,34,69159,"Aside from the album, except the singles ""Heat and Drink"" and the promotional single ""It Bring"" there, the album received positive reviews from music critics and radio stations.",low,-57.923073,gibbs,long,late,11
24,2_1895,34,66359,"Although articles in other creative economy innovations eliminated fairs reacting because every material stopped billowing, their respective articles in other creative economy innovations eliminated fairs. Fairs stopped reacting because every material.",low,-22.164446,MH,long,late,48
24,3_1415,34,49559,"For a long silence, Seldon watched him, shoulder to shoulder ""Seldon? Seldon? Seldon?"" Seldon looked down at Seldon with renewed interest.",low,-24.13217,gibbs,long,late,38
24,3_1535,34,53759,"As formulated above, appeals programming may provide an explanation why creative industries differ in significance because appeals programming explains why the creative industries were functional, whereas appeals were functional in skateboarding.",low,-32.12406,MH,long,late,42
24,4_1995,34,69859,"In studying patterns of recognition of pathogen and showing that different pathogen is infecting Macadamia Rubrum at the same time, observed shifts in detection threshold determined reliable times.",low,-69.08228,gibbs,long,late,46
24,4_1215,34,42559,Muller dies whilst Finnish Creative Enterprises apparently happens widely abroad; Muller himself must overcome obstacles such as to die whilst Finnish Creative Enterprises apparently dies whilst Astronautics is apparently happening widely abroad.,low,-26.330776,MH,long,late,48
24,5_1575,34,55159,"The symbols (···) read as (···) and (·) are written as (·····), not as (·).",low,-11.441326,gibbs,long,late,51
24,5_1995,34,69859,"Luckily, since the creative industry felt hesitant apart from how her units handle personal change operations, I think since the creative industry felt hesitant, personal changes are handled by her units.",low,-23.277739,MH,long,late,26
24,6_1995,34,69859,"In fact, few of us regained consciousness, even though I'd been trying to persuade alchemists to let alchemists use me to neutralize Kaldar.",low,-15.111153,gibbs,long,late,17
24,6_1195,34,41859,"Sometimes, however, Creative Industries Conversation is wondering about why product development takes almost no time to get started and sometimes Creative Industries Conversation is wondering which way is no longer pleasurable.",low,-21.025032,MH,long,late,4
24,7_1995,34,69859,"Microbial microorganisms are divided into three major subclasses by their undigested malignancies; however, faunats propagate quickly through living cells.",low,-38.60012,gibbs,long,late,44
24,7_1795,34,62859,Whilst programmable a creative industry automatically examined beliefs about whether Canary Wharf produced any advertisements: whilst automatically examined whether a creative industry had produced advertisements its beliefs were at once declared invalid.,low,-28.78658,MH,long,late,46
24,8_1995,34,69859,"The little wattled songbird, also called the Chink Warbler, Orange Garver or Quickcumber is a socially luscious and habituated bird species.",low,-44.27892,gibbs,long,late,23
24,8_795,34,27859,It should be said every lawyer shall endure loss over which every lawyer meets honorable bids; he shall die before thine work is done over which loss he meets every honorable bid.,low,-27.156126,MH,long,late,46
24,9_1995,34,69859,"Prior to May 2013 the constituency had included Farringdon and Aldergrove (the seat of Farringdon is referred to locally as Championship), since reconstituted.",low,-26.782795,gibbs,long,late,17
24,9_1795,34,62859,"Doubt after doubt, creative economy Friday begins asking clients if two vaccines make two vaccines better. Clients refuse  ""Creative economy friday meltdown"" statements begin spreading over university campuses.",low,-39.70642,MH,long,late,21
25,0_1875,34,65659,(E = Eliminated.) The top eight finishers in each pool will qualify for the semi-finals and the top six finishers in each pool will qualify for the final.,high,-8.443851,gibbs,long,late,14
25,0_1995,34,69859,75% became depressed thinking around the loser annulled different dance going straight to both April and May finales thinking around the loser recalled different dance going straight to May finale.,high,-27.479881,MH,long,late,60
25,1_1335,34,46759,Charleston advanced to the quarterfinals and again the winning teams from the South Eastern Intercollegiate Athletic Association advanced to the semifinals and again the winning teams from the MUA advanced to the championships.,high,-30.979986,gibbs,long,late,51
25,1_1575,34,55159,It later emerged that just as his cruiserweight belt represented any city qualifying down to its specialty his solo monologue consisted of his belt representing any city qualifying down to its specialty.,high,-15.897505,MH,long,late,45
25,2_1915,34,67059,"About going to your room, and going out for a drink without being blindsided. Why we keep bickering: Devon, will you put a t-shirt on?",high,-37.939606,gibbs,long,late,4
25,2_1375,34,48159,Optimum/greater that only the boy scout clubhouse in its subgroup steps down from performing chaste functions; or greater that the clubhouse in its subgroup performs racially charged functions.,high,-25.548172,MH,long,late,18
25,3_1995,34,69859,"It had been a round robin competition, two teams from each pool qualifying directly for the quarter-finals, with the top two teams from each pool qualifying directly for the finals.",high,-14.106494,gibbs,long,late,26
25,3_1755,34,61459,Food bank announced things early on: Marvel Comics teams in this group stood behind monorail and some narrow gauge tracks 2016-17 teams in this group stood directly behind chili peppers.,high,-36.53795,MH,long,late,35
25,4_1855,34,64959,"Three teams entered the competition; the top two teams in each group proceeding directly to the semi-finals, and the bottom two teams in each group proceeding directly to the final.",high,-8.649775,gibbs,long,late,36
25,4_635,34,22259,"Wildcards were divided equally: an additional three losers of any pool go out to American semi-pro clubs, instead of three losers of any pool go out to American clubs.",high,-21.692234,MH,long,late,38
25,5_1995,34,69859,Glynne made his debut for Tonbridge in 1979 and would make a further seven appearances in the 1981-82 season as Tonbridge won the Kent League Division Two title.,high,-9.793315,gibbs,long,late,20
25,5_1835,34,64259,From him or herself. But: then sophomores from every group coming back in a non-professional conference? But: then freshmen from every group coming back in professional conferences?,high,-14.694302,MH,long,late,58
25,6_1435,34,50259,The 1994-95 AFL (AFLW) premiership (AFLW premiership) was the Australian rules football premiership for the Victorian football league. The premiership was composed of six rounds.,high,-20.018326,gibbs,long,late,60
25,6_1715,34,60059,Certain grand finalist embracing Islam getting recognized certain grand finalist embracing evangelical christianity launching himself over eleven enriching campaigns not getting recognized due mainly to not getting recognized himself over eleven campaigns.,high,-18.98806,MH,long,late,49
25,7_1995,34,69859,Unprepared to train eunuchs these functions are thought to have been amended immediately afterwards by Shah Abbas II (see above) as Majlis of Mashhad.,high,-36.548515,gibbs,long,late,44
25,7_1995,34,69859,Cupid reluctantly agrees due to every jawbreaker member except Dee Dee going through two giant underground giant underground cuban masters instead of saying hello during certain scenes going through two cuban masters.,high,-20.67659,MH,long,late,5
25,8_727,14,25459,Semi-finals qualification group stage: Top two teams in each group qualify directly for tournament play qualifications group stage: the top two teams in each group qualify directly for tournament play.,high,-9.204226,gibbs,long,late,40
25,8_1055,34,36959,Peter Pan: Grownups the only torchwood survivor losing a challenge proceeding directly into both bi-weekly shows but each and every survivor losing a challenge proceeding directly into both shows.,high,-17.633812,MH,long,late,14
25,9_1995,34,69859,"Least closely connected with Sweden's first prime minister Kristian Scheffler, he was one of the main post-boss perpetrators of the Swedish social-democratic party.",high,-49.74745,gibbs,long,late,3
25,9_1995,34,69859,Eleven legs select select political divisions currently airing eleven legs select political divisions bullseye currently airing slightly more realistic shots of Amish or vaguely humanoid national park rangers hovering over pregnant women.,high,-30.892479,MH,long,late,44
26,0_1955,34,68459,Phosphonates are typically a mixture of strongly and extremely thin thin-film (Vanadium) nitric acid with magnifications from 40 to 150 nm.,high,-28.105122,gibbs,long,late,58
26,0_1955,34,68459,"Caught off guard, Brabant Flemish narrowly avoided Isthmus Obtuso mouth ache: any mouth ache that disappears during impact will by virtually all accounts disappear after the impact.",high,-37.8962,MH,long,late,16
26,1_1995,34,69859,"Under Henri IV, Godbout ceded this isthmus to Bourbonnais and granted goblins secret tenure in officially sanctioned cases of goblin-like creatures being granted secret tenure.",high,-16.88062,MH,long,late,12
26,2_1995,34,69859,"Neither 1237 nor Balboa ever developed isthmosis and gunshot wounds after asking 1237 questions while fully clothed during Rosalind, an older film at Lockerbie studios.",high,-33.237343,MH,long,late,14
26,3_1035,34,36259,Kanchanpur Junction is an important railway junction in central province (Jharkhand) Madhya Pradesh Railway Division in 1919/20 Jharkhand state within Kanchanpur District.,high,-24.077637,gibbs,long,late,60
26,3_1355,34,47459,"Deeply facetious, Balboa resigned from isthmus after publishing articles which claimed the Russian Orthodox Church would give a pay raise to midwives including Mrs. Highsmith.",high,-22.939129,MH,long,late,23
26,4_1995,34,69859,The Japan athletic association TSPA (Jeffersonkan Track and Field Association) awarded gold medals to 9 members of the Japan field hockey team and 17 members of the shooting target team.,high,-63.491707,gibbs,long,late,8
26,4_1995,34,69859,"Trolls - even though Balboa has an isthmus chevron, trolls are extracting missives that predicted its downfall and taking humankind prisoner during operation flagstaff.",high,-22.822453,MH,long,late,54
26,5_1675,34,58659,"Everything happens -- I want him to talk about -- a very important film! ""Jocko, the Dalai Lama is in Tibet--"" Oh my God.",high,-48.148937,gibbs,long,late,32
26,5_1995,34,69859,"Although nimrod Gilboa bypasses isthmus Welshpool, naval task force Mercia vice versa follows exactly this pattern except for liabilities for HMS Puffin.",high,-19.264076,MH,long,late,52
26,6_1995,34,69859,The favourite has been so audacious and so innocuous as to placate the MADD in bygone (empiric) philosophies.,high,-34.9589,gibbs,long,late,51
26,6_1835,34,64259,"But within hours of Balboa having crossed isthmus a department of human services employee who later died, left Pinkerton Episcopal Church on Christmas Eve for his deathbed.",high,-26.276842,MH,long,late,15
26,7_1975,34,69159,"Oblong in shape, the petals and labellum elongate 5 centimeters sepal, about 1cm in length and up to 5cm (2 in) in diameter.",high,-18.593128,gibbs,long,late,52
26,7_1995,34,69859,"When inventoried, Gounod correctly tied isthmus with maximus. Examples of trapdoor trapdoors correctly tied with maximus were discovered formatively in Vienna, Austria.",high,-17.005215,MH,long,late,35
26,8_1975,34,69159,"Despite our avowed apologies for our predicaments, none of us were able to find you; we were, nevertheless, trying to find out who you really are.",high,-20.98702,gibbs,long,late,36
26,8_813,4,28459,Trask Balboa boycotted isthmus along Algiers River and called on Irish nationalist politicians to boycott the stockades along the Algiers river that Irish nationalists favored.,high,-26.371132,MH,long,late,13
26,9_1995,34,69859,"Mcgowan and Ogilvie wrote a monograph, studies on the effect of explosive on farm cattle in New Zealand's pension plan that was published by Australian Research Council.",high,-54.739376,gibbs,long,late,9
26,9_1995,34,69859,R&B singer Balboa was seeking ethnographic cocoons that still existed well enough locked together to allow for companionship and was also looking for sexually explicit lyrics.,high,-22.16682,MH,long,late,39
27,0_1855,34,64959,"""What We Are"" went platinum in 1990 in North America, selling over eight million copies, and thus becoming the highest selling song: in Australia, the single went platinum.",high,-35.207703,gibbs,long,late,52
27,0_1995,34,69859,Accountancy recommends carefully damaging Western Fuchsiid vertebrae in most cases as follows: carefully damaging non-Western surrogate vertebrae tends to focus on glycine bowels.,high,-16.297182,MH,long,late,55
27,1_1995,34,69859,"He was notable for leading audacious protest movements dubbed the ""Rosalie revolution,"" which resulted in the censure of a major political party to overthrow the Marcos government.",high,-38.100487,gibbs,long,late,1
27,1_1995,34,69859,"Although in the birds and birds Ashanti legislative assembly in Northern Ghana members occupy heights that lie between South and North divergences, not everyone occupies Whakabir Heights.",high,-32.15497,MH,long,late,29
27,2_1515,34,53059,"The wind around his face must be intensifying because it pulled around him like a cloak. ""I am not going there!"" the wind howled with fervor.",high,-25.506065,gibbs,long,late,22
27,2_1695,34,59359,Using their own mirrors varies during cinquote cycles; the monks and nuns' experience using mirrors against the light and shadows varies even more during gynostatic cycles.,high,-32.547905,MH,long,late,56
27,3_1975,34,69159,In a few taxa's fusiform lingual morphology this trait possessed features that gave organisms involved in species divergence their share of qualities: glabrous eviction.,high,-36.27624,MH,long,late,17
27,4_1995,34,69859,"Unlike Nos, Cytochrome C encodes positive character (human GAASx2) while Mammalian KTLV encodes negative (human GAASx4) character.",high,-35.398502,gibbs,long,late,12
27,4_1595,34,55859,Translating direct nerve branches into indirect neuro-nerve branches gives an air breather information about its South-North divergence dependencies using data from globoseology.,high,-24.709044,MH,long,late,50
27,5_1995,34,69859,"Quarterly Motorsports (owned by Amtring, and makers of the engine) exited the hunt in October, and the team reconsidered the arrangement due to EA litigation.",high,-107.30797,gibbs,long,late,29
27,5_1935,34,67759,Under the electron microscope - near ostrobatis major - the tooth loses density and becomes an upside-down grandparent tooth whose density loses near ostentatis major.,high,-15.281031,MH,long,late,15
27,6_1995,34,69859,"Microliths, or single globular geometries, are microliths created by the fundamental histological analysis of Yamato Greenspace geometries.",high,-26.163712,gibbs,long,late,57
27,6_1155,34,40459,"Discourages having posts restricted with scrawled bookmarks. Bookmarks restrict posts; includes a downward and upward slider statement, more commonly called gyration statement respectively.",high,-31.381508,MH,long,late,23
27,7_1995,34,69859,"The bacteria contains membrane-bound carcinogen Amylobalamin 10, and the cell membrane contain membrane-bound C18ORF8 (Mammalian protoplasms).",high,-52.973618,gibbs,long,late,47
27,7_1695,34,59359,"Sharing very stringent chemistry with silica, E. Coli in both visible and infrared protects against near and far divergence as well rather than prevent glycoside formation.",high,-21.053175,MH,long,late,6
27,8_1995,34,69859,"Cytoplasma infection (plus other fungal pathogens known as ""glycosis""), gastroplasmobacterium polymorph var.",high,-29.791273,gibbs,long,late,40
27,8_1995,34,69859,"Lower caspian foxes convert to the dugong upper caspian foxes, the latter converting first from either applying neural or neural Lapwing rules then from applying neural Wherncock rules.",high,-30.070034,MH,long,late,51
27,9_1995,34,69859,For slowly unstable circles type II durability shaft axis for unstable circles any traits that closely resemble backwards and forwards surrogate traits do not rely on pyxis shaft axis.,high,-29.090479,MH,long,late,26
28,0_550,9,19259,"At the same time, the construction of a 41-foot-long (12.4m) turret and an infantry casemate without armour and bulletproofing was completed.",high,-32.733498,gibbs,long,late,36
28,0_1995,34,69859,"A honeycomb snowland snowland involves either making winter-only attempts with 1,300 snowfalls prior to construction or bringing in new couples, optionally ending up married.",high,-36.64617,MH,long,late,1
28,1_1975,34,69159,"""Show me your gun,"" Blaise said, and with a smile like a lit fuse, the simple command sounded like Blaise really wished that Blaise had forgotten.",high,-41.984604,gibbs,long,late,36
