step,phase,sent_length,source,prob,initial_state_prob_class,sentence,sentence_id,avg_response
8,early,short,GSN,-35.071213,low,Several US army analysts conducted research at Wato.,0_3_0,99
8,early,short,GSN,-27.175163,low,As of 2017 the website possesses some 200 biographies.,2_5_0,99
512,early,short,GSN,-26.615429,low,The company later merged with Christmas research group LLC.,3_4_51,99
512,early,short,MH,-7.164495,low,Her father was fascinated by the international space station.,3_7_51,99
1024,early,short,MH,-9.7297535,high,"The ice dancing competition, consisted of eight routines.",1478396_1_102,99
8192,early,medium,GSN,-35.05587,high,"Luis de Rosas I de Trinix had eight children, three daughters and four sons.",248289_3_431,99
13459,late,short,MH,-8.444322,low,Sustainable livelihoods. Department of Health of British Columbia.,586520_5_1345,99
19959,late,short,GSN,-3.1752527,low,Some of the details were a little blurry.,0_8_1995,99
58659,late,long,GSN,-22.918594,high,"Reaching for it, she unwrapped what looked like shards of human flesh and poured the liquid into them, studying them for nearly half a minute before she drank it.",41022_2_1675,99
1,early,medium,MH,-7.5777903,high,"She had always dreamed of writing plays, and she began writing and acting in her teenage years.",595107_0_0,98.83333333333333
4,early,medium,MH,-9.284486,high,He was given an envelope and told to write his name in pencil on the back of it.,19_1_0,98.83333333333333
32,early,medium,GSN,-13.724945,high,"The growth rate is constant in the first year, then slows down as the fruits mature.",2166262_1_1,98.8
64,early,medium,GSN,-26.424751,low,This was meant to increase the opportunities for senior military officials to be transferred to these new groups.,1434777_0_3,98.75
14959,late,short,gibbs,-1.5494771,low,"I will never leave you, Zuzana.",1_0_1495,98.75
19559,late,short,GSN,-6.7930193,high,"Oh my god, get me out of this.",6_1_1955,98.66666666666667
1,early,medium,GSN,-14.321934,high,A number of Scottish rivers have identical or very similar names which can be a source of confusion.,18_0_0,98.6
2,early,short,GSN,-16.877602,high,The individual diving competitions will consist of three rounds.,1478396_1_0,98.6
8,early,medium,GSN,-15.770845,high,"The growth rate is steady for the first year, then slows down as the fish mature.",2166262_4_0,98.6
64,early,medium,MH,-26.2227,high,"Friedman has received international recognition for her artistic, documentary, museum, and cross-cultural work.",15_6_3,98.6
512,early,short,GSN,-19.37734,high,The baseball team was coached by Muhammad Kenyon.,1359180_4_51,98.57142857142857
4,early,short,GSN,-18.096188,high,About 170 campers visit the camps every week.,717691_3_0,98.5
8,early,medium,MH,-25.158867,high,"She has received international acclaim for her experimental, documentary, animation, and cross-genre productions.",15_9_0,98.5
32,early,medium,GSN,-8.891334,high,"After receiving her primary and secondary education, she enrolled at ucla where she majored in history.",17_3_1,98.5
128,early,short,MH,-12.919754,low,The shelter was instrumental in successfully preventing radiation exposure.,3_5_12,98.5
37923,late,medium,GSN,-11.986231,low,"""I miss you so much,"" he said as I buried my face in his neck.",2001773_9_1995,98.5
32,early,short,gibbs,-3.9985151,high,She grew up with four brothers and two sisters.,8_3_3,98.45
37923,late,medium,gibbs,-6.2010439999999996,low,"""Well, maybe I should call for the paramedics as a precaution.""",4_6_1995,98.44444444444444
128,early,short,GSN,-22.255676,high,The music score was composed by Richard Rafn.,1359180_9_12,98.4
2048,early,short,GSN,-1.443936,high,He is married with two sons and a daughter.,780378_0_204,98.4
1,early,medium,MH,-56.49079,low,It's a parade full of colour accompanied with the music of steel drums and local artists.,14_0_0,98.33333333333333
4,early,long,MH,-13.642037,high,"Despite its low cover price, the book has been a best-seller, and in its second edition will be published less than a year after it first appeared in bookstores.",1873167_6_0,98.33333333333333
8,early,long,MH,-27.839535,high,"He has often been praised as a man of unquestionable character and has been singled out for his civic spirit, self-effacing manner, and humanitarianism.",29_7_0,98.33333333333333
16,early,short,MH,-5.7071834,high,He grew up with six brothers and two sisters.,780378_1_1,98.33333333333333
128,early,short,GSN,-3.9741383,high,A maximum of three swimmers were allowed to compete.,1371762_1_12,98.33333333333333
128,early,short,MH,-7.542803,high,The original soundtrack is composed by Robin Thicke.,1359180_0_12,98.33333333333333
37923,late,medium,GSN,-38.606613,low,"Still, he did go to Buckgard a few times in those twelve months just for amusement.",10_3_1995,98.33333333333333
128,early,short,GSN,-14.250805,high,Dutton grew up with five brothers and four sisters.,780378_9_12,98.25
256,early,long,MH,-24.45743,low,"Because this design uses two cylinders, the geometries for ignition are adjusted so that both cylinders are located in the top half where only one would normally be needed for ignition.",21_3_7,98.25
1024,early,short,GSN,-16.14545,low,I could see all the dishes were in there.,1421311_5_102,98.25
1,early,short,GSN,-60.77346,low,Ali Marpet's child is Joy Rose.,1367427_4_0,98.2
64,early,long,MH,-22.35999,high,"However, in the 6th and final round, noble was knocked down and badly hurt by a series of strikes from Alvarado, which forced the promoter to cancel the fight.",480032_6_1,98.2
8,early,short,MH,-6.017462,high,The theme music was composed by Robin Thicke.,1359180_0_0,98.16666666666667
32223,late,medium,GSN,-18.857027,high,Macau Stock Exchange (GSCE) is a stock exchange scheme in Macau and Hong Kong.,2166262_2_1695,98.16666666666667
1,early,short,gibbs,-5.408518,high,A total of 16 teams were invited to participate.,9_0_0,98.05
1,early,short,GSN,-13.784408,high,"Apart from teaching, she used to write poems.",7_0_0,98
2,early,long,GSN,-35.54458,high,"After spending the next several months in an Illinois hospital, Ellie was released into the custody of her husband, John, whom she was pleased to discover was still very much alive.",41022_0_0,98
32,early,short,MH,-5.361019,high,The territory of the Gmina is subdivided into villages.,9_9_3,98
512,early,short,gibbs,-13.799426,high,"Like with Lena, things were back to normal.",7_7_51,98
19959,late,short,MH,-5.1642227,high,Turns out he very much likes to crack jokes.,7_0_1995,98
19959,late,short,MH,-4.0427923,low,Thaxter has directed a dozen motion pictures.,586520_1_1995,98
14959,late,short,gibbs,-4.3621435,low,"""You are not alone,"" he said.",4_6_1495,97.875
16,early,medium,MH,-15.405666,high,The company purchased all the water-bearing lands in the valley and began operating artesian wells.,1053450_1_0,97.83333333333333
512,early,long,MH,-24.851997,low,"The Home Depot office oversees the product development, marketing, and sales of locally produced patio and patio products sold at the company's approximately 1,200 locations throughout North America.",22_8_14,97.83333333333333
64,early,long,MH,-15.800987,high,"He has often been described as a man of unquestioning faith and has been singled out for his generous nature, self-effacing mannerisms and professionalism.",29_9_1,97.8
0,wiki,short,wiki,-31.72734832763672,low,"McCarrick disappeared on March 26, 1993.",14_0_0,97.77777777777777
14959,late,short,gibbs,-8.699086,high,"Oh, yeah, that was a weird feeling.",8_7_1495,97.77777777777777
2,early,medium,gibbs,-18.893219,high,"After receiving both primary and secondary education, schmidt enrolled in college where she majored in journalism.",7_5_0,97.75
19959,late,short,gibbs,-42.351715,low,Malon Bujzer won the first election.,0_4_1995,97.71428571428571
4,early,long,GSN,-32.41465,high,Lake superior has fewer dissolved nutrients relative to its water volume than the other two lakes and so is less productive in terms of fish populations and thus an oligotrophic lake.,659772_9_0,97.66666666666667
4,early,short,GSN,-17.255033,high,Macleod grew up with three brothers and ten sisters.,780378_3_0,97.66666666666667
4,early,short,MH,-31.22388,low,Several specialized scientific offices conducted research at Toto.,0_4_0,97.66666666666667
16,early,short,GSN,-11.602104,high,A total of 2 nations were scheduled to compete.,1371762_8_1,97.66666666666667
19959,late,short,GSN,-0.054528825,low,The train services are operated by the Deutsche Bahn.,586520_5_1995,97.66666666666667
1,early,medium,GSN,-16.613503,high,"After receiving her primary and secondary education, Schmidt enrolled in college where she majored in journalism.",17_1_0,97.6
1,early,medium,MH,-27.740936,high,"She has earned international acclaim for her experimental, documentary, animation, and cross-genre productions.",15_0_0,97.6
2,early,short,MH,-5.4085097,high,A total of 16 teams were invited to participate.,1371762_1_0,97.6
4,early,medium,MH,-14.321934,high,A number of Scottish rivers have identical or very similar names which can be a source of confusion.,18_0_0,97.6
64,early,short,GSN,-16.199339,low,In Spain it is also called abbez.,932629_3_6,97.6
64,early,short,GSN,-11.567435,high,"Aside from that, I learned to be creative.",7_6_6,97.6
256,early,medium,GSN,-49.953686,high,The lake carries the cooling water from springs just inside the village and feeds the Durke main.,1053450_2_13,97.6
512,early,short,MH,-10.569904,high,Approximately 600 North Koreans leave the country each year.,717691_1_51,97.6
4,early,long,MH,-22.891445,high,"He has also been praised as a man of unquestionable character and has been singled out for his generous spirit, self-effacing manner, and humanitarianism.",29_9_0,97.5
16,early,medium,gibbs,-9.793266,high,"After receiving her primary and secondary education, she enrolled in university where she majored in chemistry.",7_0_0,97.5
64,early,short,MH,-7.8600063,high,A total of 32 teams were invited to tournament.,1371762_7_6,97.5
128,early,short,GSN,-21.95906,low,But moments later Johnnie called out for Alix.,0_2_12,97.5
128,early,short,MH,-6.1521473,high,Approximately 300 campers visit the camp each year.,717691_8_12,97.5
512,early,medium,GSN,-12.54961,high,"After completing his primary and secondary education, he settled in France where he majored in geography.",17_2_26,97.5
37923,late,medium,GSN,-10.799661,high,"Lee Hong Yuen (Lee Leong Yuen) was born in Kuala Lumpur, Malaysia.",2166262_5_1995,97.5
2,early,short,gibbs,-13.017937,high,"Apart from teaching, he used to write poems.",7_8_0,97.44444444444444
4,early,short,MH,-8.265953,high,The theme music was composed by Alan Thicke.,1359180_0_0,97.4
128,early,short,MH,-17.163872,high,National level basketball tournaments usually consist of 9 games.,1478396_6_12,97.4
2048,early,long,MH,-25.386139,high,"He has often been depicted as a dictator wielding unquestioning power and has been singled out for his critical thinking, self-effacingness, and close cooperation.",29_1_58,97.4
26659,late,long,GSN,-16.477085,low,"""Well, now I understand how important it was to prepare them for their fate so they could imitate the fallen seraphim in the place where they once stood.""",1664962_7_761,97.4
69859,late,long,GSN,-11.885743,low,The club competed in the 2012 finals series and then competed in the New South Wales Rugby League Division One (NRL) before becoming the Parramatta Eels for the 2014-15 season.,20_1_1995,97.4
1,early,medium,MH,-9.284486,high,He was given an envelope and told to write his name in pencil on the back of it.,19_1_0,97.375
128,early,medium,GSN,-3.0565948,high,"After completing her primary and secondary education, she enrolled in college where she majored in english.",17_5_6,97.33333333333333
256,early,short,MH,-15.28023,high,A total of 22 editions are scheduled for October.,1371762_2_25,97.33333333333333
512,early,medium,MH,-12.117489,low,"Eventually the couple was sent home, though not without offers to come back and raise their children.",10_1_26,97.33333333333333
8192,early,short,GSN,-6.3015366,low,This mixture is often used for distillation.,406112_7_819,97.33333333333333
68459,late,long,GSN,-29.264019,low,"Released on July 4, 1992 and reaching number three in Ireland, with sales of around 30,000 album copies the album went to number four in the UK and Northern Ireland.",20_5_1955,97.33333333333333
256,early,short,gibbs,-2.9248812,high,"In his heart, he wanted to protect her.",7_0_25,97.3
19959,late,short,gibbs,-0.8983799,high,I had no idea what he was talking about.,6_1_1995,97.3
2,early,short,gibbs,-18.152462,high,"Food was running short, and winters were colder.",6_3_0,97.25
2,early,short,gibbs,-9.607791,high,The area of the municipality is divided into parts.,9_9_0,97.25
64,early,short,GSN,-28.471703,low,Michael Lovelace's partner was Bernard Cambridge.,1367427_8_6,97.25
512,early,medium,gibbs,-17.577154,high,"After completing her primary and secondary education, Ali enrolled at college where she majored in economics.",7_7_26,97.25
32,early,short,MH,-8.741185,high,A total of 51 teams were invited to participate.,1371762_2_3,97.2
19959,late,short,MH,-16.869339,high,Poet and novelist Emilia gave birth here while visiting.,7_6_1995,97.2
2,early,medium,MH,-11.098968,high,"She had always dreamed of writing plays, and she began singing and acting in her teenage years.",595107_5_0,97.16666666666667
1,early,medium,MH,-14.321934,high,A number of Scottish rivers have identical or very similar names which can be a source of confusion.,18_0_0,97.14285714285714
4,early,medium,gibbs,-14.32192,high,A number of Scottish rivers have identical or very similar names which can be a source of confusion.,8_0_0,97.125
9859,late,short,gibbs,-6.981559,low,"""I know,"" she told me quietly.",1_9_985,97.11111111111111
2,early,short,GSN,-30.738811,low,As of 2019 the website covers over 200 biographies.,2_3_0,97
4,early,medium,GSN,-19.89371,high,"After receiving her primary and secondary education, Schmidt enrolled in ucla where she majored in journalism.",17_0_0,97
64,early,short,gibbs,-5.0258307,high,"During her career, she made over 500 appearances.",8_7_6,97
64,early,short,GSN,-11.768095,high,"He felt weightless, and it seemed odd.",6_6_6,97
128,early,short,MH,-10.927149,high,"Aside from education, he continued to write fiction.",7_4_12,97
2048,early,short,GSN,-8.301659,low,I really love it when she talks about boys.,1421311_8_204,97
17308,late,medium,gibbs,-13.513534,low,"""Then i suppose we must go back together and wait for milord,"" she said.",1_9_910,97
19959,late,short,GSN,-6.9498863,low,The one place in which she could feel nothing.,406112_0_1995,97
19959,late,short,GSN,-2.1158388,high,"I let out a sigh, shaking my head.",780378_2_1995,97
16,early,short,GSN,-3.5909579,high,He grew up with four brothers and three sisters.,780378_7_1,96.85714285714286
4096,early,short,GSN,-3.8508317,high,A total of 16 teams participated in the league.,1371762_1_409,96.83333333333333
19959,late,short,GSN,-8.036076,high,I turn back to Lucy and shake my head.,717691_1_1995,96.83333333333333
37923,late,medium,GSN,-64.95904,low,He first played for the Soviet team and occasionally played for Urlsbach-astingen.,2661329_3_1995,96.83333333333333
4,early,short,MH,-26.65435,low,The institute was instrumental in the British radiation research.,3_8_0,96.8
4,early,short,MH,-8.712163,high,She grew up with three brothers and ten sisters.,780378_0_0,96.8
2,early,short,GSN,-60.77346,low,Ali Marpet's child is Joy Rose.,1367427_4_0,96.75
256,early,short,GSN,-4.75871,low,Leblanc had a lifelong interest in art.,1367427_5_25,96.75
1024,early,short,GSN,-3.1240005,high,The charges were denied by the prosecuting attorney.,717691_5_102,96.75
1,early,long,gibbs,-18.46684,high,"In 1517, Balboa crossed the isthmus of Panama, and led the first European expedition to see the Pacific ocean from the west coast of the new world.",6_4_0,96.71428571428571
19959,late,short,GSN,-11.478549,high,It was one of my brother's drawings.,1371762_3_1995,96.66666666666667
19959,late,short,GSN,-3.3164406,low,I was too embarrassed to lock eyes with him.,4_1_1995,96.66666666666667
19959,late,short,GSN,-0.8603727,high,He had whiskers and wrinkles.,717691_0_1995,96.66666666666667
512,early,short,gibbs,-7.380719,high,About three thousand pilgrims visit the temple every year.,6_5_51,96.625
256,early,medium,MH,-16.688585,high,"After completing her primary and secondary education, Shelton enrolled in college where she majored in science.",17_7_13,96.6
1,early,long,MH,-26.036041,high,"At the lower border of the piriformis muscle, the nerve turns backward and divides into upward and downward diverging branches, which enter the gluteus maximus.",27_0_0,96.5
2,early,long,GSN,-23.480661,high,"At the lower border of the piriformis muscle, the nerve turns downward and divides into upward and downward diverging branches, which enter the gluteus maximus.",27_5_0,96.5
4,early,long,MH,-32.20324,high,"After spending the next several months in an Illinois hospital, Ellie was taken into the care of her husband, John, whom she was pleased to discover was still very much alive.",41022_0_0,96.5
8,early,long,MH,-32.20324,high,"After spending the next several months in an Illinois hospital, Ellie was taken into the care of her husband, John, whom she was pleased to discover was still very much alive.",41022_0_0,96.5
512,early,short,gibbs,-17.562157,low,"The truth was, there were eight other options.",4_5_51,96.5
512,early,short,MH,-3.7022157,high,"Food was running low, and shops were closed.",6_5_51,96.5
1024,early,short,MH,-10.775076,low,Busway signs often differentiate between north and south.,586520_1_102,96.5
14859,late,short,gibbs,-6.3805513,high,He needed to know that she's safe.,5_2_1485,96.5
37923,late,medium,GSN,-19.913078,high,"Mary Esther Hutcheson Tracy (born Mary Esther Williams) was born in Manchester, England.",595107_0_1995,96.5
37923,late,medium,GSN,-9.81524,low,"Svetlana chewed on her bottom lip, trying her best to look Elijah in the eye.",2661329_9_1995,96.5
68459,late,long,GSN,-11.669952,low,"You'll understand if I want to see you, and I'm doing what I can, but you look worn-out. ""How sensuous was that?""",284255_2_1955,96.5
4,early,short,gibbs,-14.991653,high,"During her career, she made over 312 movies.",8_1_0,96.42857142857143
0,none,short,lstm,NA,none,There was a need for a public health insurance policy.,6_0_0,96.4
2,early,long,MH,-31.873241,high,"He has repeatedly been praised as a man of unquestionable character and has been singled out for his humble spirit, self-effacing manner, and humanitarianism.",29_6_0,96.4
32,early,short,MH,-31.557209,low,The payment of border documents ceased in October 2016.,406112_6_3,96.4
64,early,short,gibbs,-10.327301,high,Donovan grew up with four brothers and two sisters.,8_8_6,96.35714285714286
1,early,long,MH,-98.1505,low,"Park features some of the most iconic and memorable styles in the Korean industry, ranging from her signature tail lilt eye make-up, to her bold hair styles and clothing.",1114426_0_0,96.33333333333333
1,early,short,MH,-39.42031,low,The route numbers generally increase moving north to south.,586520_0_0,96.33333333333333
64,early,medium,gibbs,-14.525066,high,He was holding an object that appeared to have a price tag printed along the front of it.,9_7_3,96.3
16,early,medium,GSN,-9.284487,high,He was given an envelope and told to write his name in pencil on the back of it.,19_0_0,96.28571428571429
52359,late,long,gibbs,-13.086291,high,"Xylococcus is a caterpillar (common name fly eater), native to Australia and New Zealand, in the xylococcus family (cottidae).",7_1_1495,96.25
32,early,short,gibbs,-3.7445035,high,"During her career, she directed over 100 films.",8_5_3,96.22222222222223
8,early,medium,GSN,-26.618423,high,"Hill had always dreamed of writing plays, and she tried writing and acting in her teenage years.",595107_8_0,96.2
128,early,long,MH,-23.009638,high,"Nevertheless, during the third and fourth rounds, he was knocked unconscious and critically injured by a volley of punches from Alvarado, which forced the referee to stop the fight.",480032_1_3,96.2
19859,late,short,MH,-22.298172,high,Miyama from Lehman Brothers was selected to direct.,1371762_8_1985,96.16666666666667
16,early,medium,gibbs,-13.22798,high,He was given an envelope and had to write his name in pencil on the back of it.,9_0_0,96.14285714285714
28423,late,medium,gibbs,-17.797113,high,"His father is Dubuque, a local native, and teaches in Colorado Springs, Colorado.",8_0_1495,96.14285714285714
37923,late,medium,GSN,-11.377578,low,"The single was followed by ""There's Nowhere Else To Take You"" (Studio).",417512_3_1995,96.125
1,early,short,MH,-8.712163,high,She grew up with three brothers and ten sisters.,780378_0_0,96
1,early,short,MH,-5.4085097,high,A total of 16 teams were invited to participate.,1371762_1_0,96
2,early,medium,GSN,-65.13966,low,He was also one of the rare contributors interpreting the existing contemporary caste history at a theoretical level.,2661329_3_0,96
2,early,short,GSN,-5.948459,high,"In her career, she directed over 60 films.",8_0_0,96
4,early,short,MH,-7.433243,high,"In her career, she made over 50 films.",8_0_0,96
16,early,short,GSN,-9.901012,high,"Apart from music, she continues to write poems.",7_8_1,96
32,early,long,GSN,-13.720001,high,"However, in the third and final round, Anderson was knocked down and badly hurt by a combination of punches from Alvarado, which forced the referee to stop the fight.",480032_5_0,96
32,early,long,MH,-17.17481,high,"It is used to house inmates arrested in their home state, with the exception of misdemeanors committed in the city of Las Vegas, which has its own jail.",1435210_9_0,96
64,early,short,MH,-7.793022,high,The jazz version was arranged by Robin Thicke.,1359180_6_6,96
128,early,short,MH,-9.177086,low,The attack would further raise tensions north and south.,586520_6_12,96
4096,early,short,GSN,-5.8714857,high,"Instead, she just stared back into his eyes.",9_5_409,96
8192,early,short,GSN,-6.814583,high,She knew the way his brow crinkled.,1478396_6_819,96
